Posi	Sonar	Lidar	Fusion
2.42	42.09	31.41	40.59
2.49	52.62	34.69	50.1
2.55	48.41	39.1	47.1
2.62	42.09	39.25	41.69
2.68	44.2	38.72	43.43
2.75	23.15	42.35	25.85
2.81	23.15	48.03	26.65
2.88	23.15	48.36	26.7
2.95	23.15	49.85	26.9
3.01	23.15	47.17	26.53
3.08	21.05	45.13	24.43
3.14	21.05	36.6	23.23
3.21	23.15	37.43	25.16
3.27	23.15	41.24	25.69
3.34	23.15	46.64	26.45
3.4	35.78	40.34	36.42
3.47	35.78	34.57	35.61
3.53	52.62	35.82	50.25
3.6	52.62	40.5	50.91
3.67	23.15	26.82	23.67
3.6	23.15	29.3	24.02
3.53	46.3	10.32	41.24
3.47	52.62	9.27	46.52
3.4	21.05	9.67	19.45
3.34	21.05	10.12	19.51
3.27	52.62	10.54	46.7
3.21	46.3	11.09	41.35
3.14	35.78	11.6	32.38
3.08	35.78	12.09	32.45
3.01	23.15	12.74	21.69
2.95	21.05	13.52	19.99
2.88	23.15	14.19	21.89
2.81	21.05	15.05	20.2
2.75	23.15	15.93	22.14
2.68	21.05	17.0	20.48
2.62	23.15	17.96	22.42
2.55	23.15	19.18	22.59
2.49	21.05	20.64	20.99
2.42	23.15	22.33	23.04
2.36	46.3	24.09	43.18
2.29	50.51	26.26	47.1
2.23	44.2	28.56	42.0
2.16	42.09	31.51	40.61
2.09	42.09	35.06	41.1
2.03	44.2	38.72	43.43
1.96	44.2	38.95	43.46
1.9	44.2	34.39	42.82
1.83	48.41	38.28	46.98
1.77	46.3	43.7	45.94
1.7	46.3	49.73	46.78
1.64	44.2	58.39	46.19
1.57	44.2	68.32	47.59
1.51	44.2	79.27	49.13
1.44	44.2	80	49.23
1.37	44.2	80	49.23
1.31	46.3	47.92	46.53
1.24	46.3	55.98	47.66
1.18	67.35	31.92	62.37
1.11	80	35.5	73.74
1.05	80	39.71	74.34
0.98	71.56	45.42	67.88
0.92	67.35	52.3	65.23
0.85	63.14	60.5	62.77
0.79	69.45	42.61	65.68
0.72	65.24	49.5	63.03
0.65	67.35	57.47	65.96
0.59	65.24	68.32	65.68
0.52	67.35	80	69.13
0.46	71.56	80	72.75
0.39	69.45	80	70.94
0.33	65.24	80	67.32
0.26	80	80	80.0
0.2	80	80	80.0
0.13	80	80	80.0
0.07	80	80	80.0
0.0	80	24.21	72.16
-0.07	71.56	26.71	65.25
-0.13	69.45	29.39	63.82
-0.2	63.14	32.89	58.89
-0.26	52.62	36.07	50.29
-0.33	50.51	40.75	49.14
-0.39	48.41	46.13	48.09
-0.46	50.51	53.48	50.93
-0.52	52.62	62.38	53.99
-0.46	52.62	74.39	55.68
-0.39	48.41	80	52.85
-0.33	50.51	80	54.66
-0.26	52.62	80	56.47
-0.2	50.51	80	54.66
-0.13	50.51	80	54.66
-0.07	50.51	80	54.66
0.0	50.51	80	54.66
0.07	50.51	80	54.66
0.13	69.45	80	70.94
0.2	73.66	80	74.55
0.26	67.35	80	69.13
0.33	65.24	80	67.32
0.39	67.35	80	69.13
0.46	63.14	80	65.51
0.52	67.35	80	69.13
0.59	65.24	80	67.32
0.65	69.45	80	70.94
0.72	73.66	80	74.55
0.79	67.35	80	69.13
0.85	63.14	80	65.51
0.92	67.35	80	69.13
0.98	65.24	80	67.32
1.05	69.45	80	70.94
1.11	65.24	80	67.32
1.18	67.35	80	69.13
1.24	71.56	80	72.75
1.31	69.45	80	70.94
1.37	63.14	80	65.51
1.44	69.45	80	70.94
1.51	65.24	80	67.32
1.57	46.3	80	51.04
1.64	44.2	80	49.23
1.7	44.2	80	49.23
1.77	44.2	80	49.23
1.83	44.2	62.03	46.7
1.9	44.2	75.37	48.58
1.96	42.09	67.5	45.66
2.03	42.09	80	47.42
2.09	44.2	80	49.23
2.16	44.2	71.13	47.98
2.23	50.51	38.8	48.87
2.29	50.51	29.22	47.52
2.36	42.09	30.27	40.43
2.42	42.09	33.8	40.93
2.49	42.09	37.64	41.47
2.55	44.2	42.7	43.99
2.62	46.3	36.87	44.98
2.68	46.3	34.39	44.63
2.75	21.05	35.56	23.09
2.81	21.05	39.71	23.67
2.88	23.15	43.98	26.08
2.95	21.05	45.32	24.46
3.01	21.05	48.14	24.86
3.08	23.15	49.5	26.85
3.14	21.05	38.72	23.53
3.21	23.15	33.06	24.54
3.27	21.05	35.56	23.09
3.34	23.15	39.63	25.47
3.4	33.67	40.1	34.58
3.47	35.78	42.0	36.65
3.53	46.3	42.7	45.8
3.6	50.51	48.03	50.16
3.67	50.51	27.25	47.24
3.6	50.51	30.13	47.65
3.53	52.62	10.0	46.63
3.47	35.78	9.23	32.05
3.4	50.51	9.62	44.76
3.34	52.62	10.1	46.64
3.27	48.41	10.54	43.08
3.21	35.78	11.07	32.31
3.14	33.67	11.51	30.56
3.08	21.05	12.09	19.79
3.01	23.15	12.7	21.68
2.95	21.05	13.43	19.98
2.88	23.15	14.1	21.88
2.81	21.05	15.01	20.2
2.75	21.05	15.85	20.32
2.68	21.05	16.85	20.46
2.62	21.05	17.96	20.61
2.55	21.05	19.11	20.77
2.49	21.05	20.55	20.98
2.42	44.2	22.19	41.1
2.36	46.3	23.96	43.16
2.29	48.41	26.15	45.28
2.23	42.09	28.47	40.18
2.16	42.09	31.46	40.6
2.09	42.09	34.69	41.05
2.03	42.09	38.8	41.63
1.96	42.09	38.72	41.62
1.9	44.2	43.15	44.05
1.83	46.3	48.81	46.66
1.77	46.3	57.47	47.87
1.7	44.2	47.06	44.6
1.64	44.2	55.13	45.73
1.57	42.09	64.38	45.23
1.51	44.2	75.62	48.61
1.44	44.2	80	49.23
1.37	44.2	80	49.23
1.31	46.3	80	51.04
1.24	48.41	80	52.85
1.18	80	75.87	79.42
1.11	80	80	80.0
1.05	80	80	80.0
0.98	79.98	80	79.98
0.92	69.45	66.69	69.07
0.85	63.14	62.56	63.06
0.79	80	36.94	73.95
0.72	56.83	42.0	54.74
0.65	63.14	20.81	57.19
0.59	67.35	17.34	60.32
0.52	73.66	18.45	65.9
0.46	80	19.86	71.55
0.39	69.45	21.58	62.72
0.33	80	23.41	72.05
0.26	69.45	25.4	63.26
0.2	65.24	27.61	59.95
0.13	67.35	30.51	62.17
0.07	65.24	33.51	60.78
0.0	69.45	37.57	64.97
-0.07	71.56	42.0	67.4
-0.13	67.35	47.92	64.62
-0.2	65.24	55.98	63.94
-0.26	54.72	64.94	56.16
-0.33	54.72	79.55	58.21
-0.39	50.51	63.46	52.33
-0.46	50.51	77.41	54.29
-0.52	50.51	80	54.66
-0.46	52.62	80	56.47
-0.39	50.51	80	54.66
-0.33	50.51	42.53	49.39
-0.26	52.62	39.02	50.71
-0.2	50.51	44.64	49.69
-0.13	52.62	51.05	52.4
-0.07	52.62	61.0	53.79
0.0	54.72	67.91	56.57
